"INLINE EscapeQuoteTable","Text ID"
"0x0","0x0"
"Ostrava","OstravaEscapeQuote"
"Ben","BenEscapeQuote"
"Zorua","ZoEscapeQuote"
"Yanik","YanikEscapeQuote"
"Juli","JuliEscapeQuote"
"Elizabeth","PrologueFirstTurn1"
"Roshal","PrologueFirstTurn1"
"Jeanne","PrologueFirstTurn1"
"Natsumi","PrologueFirstTurn1"
"Hex","PrologueFirstTurn1"
"Junpei","PrologueFirstTurn1"
"Glazette","PrologueFirstTurn1"
"Doc","PrologueFirstTurn1"
"Ciel","PrologueFirstTurn1"
"Blank","PrologueFirstTurn1"
"Samantha","PrologueFirstTurn1"
"Fleurette","PrologueFirstTurn1"
"Fei","PrologueFirstTurn1"
"Smegbert","PrologueFirstTurn1"
"George","PrologueFirstTurn1"
"Alben","PrologueFirstTurn1"
"Ramona","PrologueFirstTurn1"
"Jamie","PrologueFirstTurn1"
"William","PrologueFirstTurn1"
"Sieghardt","PrologueFirstTurn1"
"Orvald","PrologueFirstTurn1"
"Darien","PrologueFirstTurn1"
"0x1c",0
"0x1d",0
"0x1e",0
"0x1f",0
"0x20",0
"0x21",0
"0x22",0
"0x23",0
"0x24",0
"0x25",0
"0x26",0
"0x27",0
"0x28",0
"0x29",0
"0x2a",0
"0x2b",0
"0x2c",0
"0x2d",0
"0x2e",0
"0x2f",0
"0x30",0
"0x31",0
"0x32",0
"0x33",0
"0x34",0
"0x35",0
"0x36",0
"0x37",0
"0x38",0
"0x39",0
"0x3a",0
"0x3b",0
"0x3c",0
"0x3d",0
"0x3e",0
"0x3f",0
"0x40",0
"0x41",0
"0x42",0
"0x43",0
"0x44",0
"0x45",0
"0x46",0
"0x47",0
"0x48",0
"0x49",0
"0x4a",0
"0x4b",0
"0x4c",0
"0x4d",0
"0x4e",0
"0x4f",0
"0x50",0
"0x51",0
"0x52",0
"0x53",0
"0x54",0
"0x55",0
"0x56",0
"0x57",0
"0x58",0
"0x59",0
"0x5a",0
"0x5b",0
"0x5c",0
"0x5d",0
"0x5e",0
"0x5f",0
"0x60",0
"0x61",0
"0x62",0
"0x63",0
"0x64",0
"0x65",0
"0x66",0
"0x67",0
"0x68",0
"0x69",0
"0x6a",0
"0x6b",0
"0x6c",0
"0x6d",0
"0x6e",0
"0x6f",0
